t,u,y
219,-0.6599928153679409,-0.9527999873532348
220,-0.6874289666506036,-0.9428432483738478
221,-0.7144140163862123,-0.956054287884722
222,-0.7407450407906654,-0.9609501836221581
223,-0.7661502265288891,-0.9642078065594409
224,-0.7902928433456401,-0.9586037516138107
225,-0.8127770347719652,-0.9682476305967316
226,-0.8331553152567097,-0.9599376427231258
227,-0.8509376243387876,-0.9877832515640729
228,-0.8656017537658165,-0.9896221217492225
229,-0.8766049325031638,-0.9977524789177877
230,-0.8833963280126581,-1.0040140061995988
231,-0.8854302005713803,-1.001145857575195
232,-0.8821794312052561,-0.9958406646452624
233,-0.873149133377134,-0.9869371705852856
234,-0.8578900541235828,-0.9672644763573514
235,-0.8360114719857425,-0.9909792907823999
236,-0.8071933068092056,-1.003145172810348
237,-0.7711971701533029,-0.9908254123640038
238,-0.7278761043873998,-0.9942729937768353
239,-0.6771827831798116,-0.9698889489700069
240,-0.6191759755146687,-0.9594611588476473
241,-0.5540251090149593,-0.9373043066643646
242,-0.48201280553111125,-0.9297664096889436
243,-0.40353530192526543,-0.9135719892913209
244,-0.3191007109356853,-0.8903146602905295
245,-0.22932512009512349,-0.7930280960135665
246,-0.134926570029335,-0.6862721660275594
247,-0.036716996197875384,-0.5546296698097123
248,0.0644077406089128,-0.3385963085495579
249,0.16747957077429468,-0.08507511801617146
250,0.2714714793063212,0.21421130848323652
251,0.3753120842161263,0.47867434210804183
252,0.4779012703398715,0.655167658715952
253,0.5781265967215069,0.7950006711093365
254,0.6748801788006242,0.902753421025459
255,0.7670757356532389,0.9355593691433024
256,0.8536654876455089,0.9722759844958874
257,0.933656591189568,0.9788044048468834
258,1.0061268048200158,0.9703030494338518
259,1.0702390943970377,0.9772237978841135
260,1.125254904622877,0.9839907621348942
261,1.1705458488511087,0.978018035372417
262,1.205603598881498,1.0131687670756353
263,1.2300477904768963,0.9869257949517942
264,1.2436317980345126,0.9842404200176453
265,1.2462462724400782,0.9955417547012773
266,1.2379203788196271,1.005026135517761
267,1.218820714827089,1.0025900102086482
268,1.1892479343892401,1.0056714957362676
269,1.1496311455880857,1.0120418031646177
270,1.1005201937207045,0.9914594315042776
271,1.0425759806924781,0.9935015999452308
272,0.9765590089719429,0.9824370933255837
273,0.9033163716260404,1.010669596504639
274,0.8237674388023836,0.9828866775849917
275,0.7388885148588996,0.9888417420961135
276,0.6496967586916572,0.980410573682856
277,0.557233672320325,0.96246495671548
278,0.4625484692174481,0.9356519930969512
279,0.36668163409590016,0.9110090780647438
280,0.270648979906573,0.8727396859381462
281,0.17542649577973124,0.7890968831418105
282,0.08193626182398628,0.6355202415406315
283,-0.00896631654972374,0.4735609104537699
284,-0.09650373030349182,0.22224716123703564
285,-0.1799858525258239,-0.001047409443173504
286,-0.2588175325891178,-0.2660982782823175
287,-0.33250418223410333,-0.45959020553915453
288,-0.4006552784476979,-0.6267340470425827
289,-0.46298575064637626,-0.7398169738357048
290,-0.5193152627547177,-0.8106594897528192
291,-0.5695654434008712,-0.8659886609381292
292,-0.6137551587701318,-0.9145135376753264
293,-0.6519939618258217,-0.9408323991002612
294,-0.6844738878292298,-0.9345255418995246
295,-0.7114597986353356,-0.9502105305072444
296,-0.7332785064516574,-0.9407094100967242
297,-0.7503069310576926,-0.9636465860599462
298,-0.7629595624258638,-0.9656317557511994
299,-0.7716755129066021,-0.9613303522724964
300,-0.7769054494027454,-0.9932852382809851
301,-0.7790986961462918,-0.97860657040967
302,-0.7786907928136503,-0.9639311340219211
303,-0.7760917809074165,-0.9807766195844447
304,-0.7716754738492382,-0.9945240099574445
305,-0.7657699434411793,-0.9826383448193524
306,-0.7586494277426463,-0.9647546487651286
307,-0.7505278335558039,-0.9594441710731711
308,-0.7415539712803525,-0.972200657295584
309,-0.7318086216280748,-0.9673410189250531
310,-0.7213034933758141,-0.975720524270464
311,-0.7099820898216296,-0.9614517950293923
312,-0.6977224597561245,-0.9601283861517732
313,-0.684341767439689,-0.9646008356196939
314,-0.6696025761457012,-0.946541404675498
315,-0.6532207021202303,-0.9445106217606252
316,-0.6348744611051358,-0.9403109392885468
317,-0.6142150985969117,-0.960846867341854
318,-0.590878168414455,-0.9319044144757066
319,-0.5644956024818308,-0.9511449822949047
320,-0.5347081984524708,-0.9264903723943091
321,-0.5011782412534048,-0.9226027557105285
322,-0.4636019700396141,-0.9022545295046561
323,-0.4217216035231208,-0.8822842709229994
324,-0.3753366441596372,-0.8534532231827888
325,-0.3243141950924615,-0.824321850348713
326,-0.268598042803348,-0.7686167555214878
327,-0.20821628272141962,-0.718971060297802
328,-0.14328729410357577,-0.6385793192924525
329,-0.074023903735112,-0.5300066432119221
330,-0.0007356147323685225,-0.3685127449794558
331,0.07617118378700427,-0.1597993494851329
332,0.15619506897110738,0.036840344891275606
333,0.23874349871360045,0.23572747068569816
334,0.32313874586185076,0.43445300336900844
335,0.40862576755412205,0.6296951131192052
336,0.4943818844807776,0.7322421325285902
337,0.5795281066016339,0.8417085626601752
338,0.663141906719858,0.894643329657184
339,0.7442712120370067,0.914342520935171
340,0.8219493570417968,0.9443917309096339
341,0.8952107193740391,0.9900562547386342
342,0.9631067441095509,0.9999085050272345
343,1.0247220515755655,0.9757239231460609
344,1.079190319553707,0.9742569893347465
345,1.1257096326611258,0.9966898044546999
346,1.163556999795882,0.9943260587555934
347,1.1921017546417525,0.9987199255124531
348,1.2108175740796232,1.0122842562159566
349,1.2192928745600913,0.9782228213671672
350,1.2172393765589835,1.0165128364737421
351,1.2044986615689581,0.988684452101673
352,1.181046583994714,1.0069792091686753
353,1.1469954410615446,1.0129345635935014
354,1.1025938466046883,0.9906061667126346
355,1.0482242985261514,1.0107473293710993
356,0.9843984739086287,1.0073128749394822
357,0.9117503293786586,1.0012558817268817
358,0.8310271264408963,0.986480564732552
359,0.7430785413192413,1.007600199737505
360,0.6488440555419487,0.9831232519969749
361,0.5493388563629501,0.9810844399355952
362,0.44563850446350906,0.9600249984026694
363,0.33886264966179624,0.9204070911195252
364,0.23015809310894267,0.8340245238642232
365,0.12068150631715209,0.7433555771889041
366,0.01158212311489741,0.558238575711784
367,-0.09601527985334374,0.3142649428440771
368,-0.20102680515434584,0.03797306159288677
369,-0.30242496295123955,-0.2597081535640854
370,-0.3992530281433604,-0.5344625488009601
371,-0.4906379726504422,-0.706004916914571
372,-0.5758017481601547,-0.8289810912735803
373,-0.6540707279357207,-0.8980749044702788
374,-0.7248831532298348,-0.9430325051478031
375,-0.7877944697234572,-0.9503354098866399
